Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Stefon Diggs*+\DiggSt00,BUF,27,WR,16,15,166,127,76.5%,1535,12.1,8,73,55,9.2,7.9,95.9,0
2,Davante Adams*+\AdamDa01,GNB,28,WR,14,14,149,115,77.2%,1374,11.9,18,73,56,9.2,8.2,98.1,1
3,DeAndre Hopkins*\HopkDe00,ARI,28,WR,16,16,160,115,71.9%,1407,12.2,6,75,60,8.8,7.2,87.9,3
4,Darren Waller*\WallDa01,LVR,28,TE,16,15,145,107,73.8%,1196,11.2,9,69,38,8.2,6.7,74.8,2
5,Travis Kelce*+\KelcTr00,KAN,31,TE,15,15,145,105,72.4%,1416,13.5,11,79,45,9.8,7.0,94.4,1
6,Allen Robinson\RobiAl02,CHI,27,WR,16,16,151,102,67.5%,1250,12.3,6,68,42,8.3,6.4,78.1,0
7,Keenan Allen*\AlleKe00,LAC,28,WR,14,13,147,100,68.0%,992,9.9,8,61,28,6.7,7.1,70.9,3
8,Tyler Lockett\LockTy00,SEA,28,WR,16,16,132,100,75.8%,1054,10.5,10,57,47,8.0,6.3,65.9,1
9,JuJu Smith-Schuster\SmitJu00,PIT,24,WR,16,14,128,97,75.8%,831,8.6,9,48,31,6.5,6.1,51.9,3
10,Robby Anderson\AndeRo04,CAR,27,WR,16,16,136,95,69.9%,1096,11.5,3,49,75,8.1,5.9,68.5,1
11,Amari Cooper\CoopAm00,DAL,26,WR,16,15,130,92,70.8%,1114,12.1,5,54,69,8.6,5.8,69.6,0
12,Cooper Kupp\KuppCo00,LAR,27,WR,15,12,124,92,74.2%,974,10.6,3,45,55,7.9,6.1,64.9,1
13,Calvin Ridley\RidlCa00,ATL,26,WR,15,15,143,90,62.9%,1374,15.3,9,65,63,9.6,6.0,91.6,1
14,Robert Woods\WoodRo02,LAR,28,WR,16,16,129,90,69.8%,936,10.4,6,46,56,7.3,5.6,58.5,2
15,Justin Jefferson*\JeffJu00,MIN,21,WR,16,14,125,88,70.4%,1400,15.9,7,58,71,11.2,5.5,87.5,1
16,Diontae Johnson\JohnDi01,PIT,24,WR,15,13,144,88,61.1%,923,10.5,7,45,47,6.4,5.9,61.5,2
17,Tyreek Hill*+\HillTy00,KAN,26,WR,15,15,135,87,64.4%,1276,14.7,15,57,75,9.5,5.8,85.1,1
18,Terry McLaurin\McLaTe00,WAS,25,WR,15,15,134,87,64.9%,1118,12.9,4,51,68,8.3,5.8,74.5,1
19,Alvin Kamara*\KamaAl00,NOR,25,RB,15,10,107,83,77.6%,756,9.1,5,35,52,7.1,5.5,50.4,1
20,D.K. Metcalf*\MetcDK00,SEA,23,WR,16,16,129,83,64.3%,1303,15.7,10,63,62,10.1,5.2,81.4,1
21,Cole Beasley\BeasCo00,BUF,31,wr,15,10,107,82,76.6%,967,11.8,4,53,35,9.0,5.5,64.5,0
22,Brandin Cooks\CookBr00,HOU,27,WR,15,15,119,81,68.1%,1150,14.2,6,51,57,9.7,5.4,76.7,0
23,J.D. McKissic\McKiJ.00,WAS,27,rb,16,7,110,80,72.7%,589,7.4,2,32,29,5.4,5.0,36.8,3
24,Tyler Boyd\BoydTy00,CIN,26,wr,15,8,110,79,71.8%,841,10.6,4,43,72,7.6,5.3,56.1,1
